identificador,identificador_externo,nome,cpf_ou_cnpj,email,emails_adicionais,celular,fone,forma_de_pagamento,tipo_de_cobranca,vencimento,vencimento_original,data_de_pagamento,valor,valor_original,valor_líquido,situacao,número_do_boleto,descricao,grupos,data_estimada_de_credito,número_da_fatura,data_de_criacao,data_de_confirmacao,data_de_credito,usuário
484124215,,Marina Santos Oliveira,33245678901,marina.oliveira@email.com,,11987654321.0,,Boleto Bancário,Cobrança Recorrente,15/01/2025,15/01/2025,,450.0,,447.01,Aguardando pagamento,270167124.0,Aula de inglês avançado,,,484124215,2024-05-13,,,paulo.silva@email.com
484124216,,João Pedro Almeida,44567890123,joao.almeida@email.com,,11976543210.0,11976543210.0,Cartão de Crédito,Cobrança Recorrente,16/01/2025,16/01/2025,,500.0,,486.66,Aguardando pagamento,,Aulas particulares de business English,,,484124216,2024-05-14,,,paulo.silva@email.com
484124217,,Ana Carolina Lima,55678901234,ana.lima@email.com,,11965432109.0,,Boleto Bancário,Cobrança Recorrente,17/01/2025,17/01/2025,,380.0,,377.01,Aguardando pagamento,270167125.0,Aula de conversação em inglês,,,484124217,2024-05-15,,,paulo.silva@email.com
484124218,,Ricardo Mendes Costa,66789012345,ricardo.costa@email.com,,11954321098.0,,Cartão de Crédito,Cobrança Recorrente,18/01/2025,18/01/2025,,600.0,,586.66,Aguardando pagamento,,English for Executives,,,484124218,2024-05-16,,,paulo.silva@email.com
484124219,,Patricia Souza Santos,77890123456,patricia.santos@email.com,,11943210987.0,11943210987.0,Boleto Bancário,Cobrança Recorrente,19/01/2025,19/01/2025,,420.0,,417.01,Aguardando pagamento,270167126.0,Inglês para viagens,,,484124219,2024-05-17,,,paulo.silva@email.com
484124220,,Fernando Torres Silva,88901234567,fernando.silva@email.com,,11932109876.0,,Cartão de Crédito,Cobrança Recorrente,20/01/2025,20/01/2025,,550.0,,536.66,Aguardando pagamento,,Preparatório TOEFL,,,484124220,2024-05-18,,,paulo.silva@email.com
484124221,,Beatriz Campos Ferreira,99012345678,beatriz.ferreira@email.com,,11921098765.0,,Boleto Bancário,Cobrança Recorrente,21/01/2025,21/01/2025,,480.0,,477.01,Aguardando pagamento,270167127.0,Inglês intermediário,,,484124221,2024-05-19,,,paulo.silva@email.com
484124222,,Lucas Oliveira Santos,10123456789,lucas.santos@email.com,,11910987654.0,11910987654.0,Cartão de Crédito,Cobrança Recorrente,22/01/2025,22/01/2025,,520.0,,506.66,Aguardando pagamento,,Business Communication,,,484124222,2024-05-20,,,paulo.silva@email.com
484124223,,Camila Rodrigues Lima,11234567890,camila.lima@email.com,,11898765432.0,,Boleto Bancário,Cobrança Recorrente,23/01/2025,23/01/2025,,440.0,,437.01,Aguardando pagamento,270167128.0,Inglês básico,,,484124223,2024-05-21,,,paulo.silva@email.com
484124224,,Gabriel Martins Costa,12345678901,gabriel.costa@email.com,,11887654321.0,,Cartão de Crédito,Cobrança Recorrente,24/01/2025,24/01/2025,,590.0,,576.66,Aguardando pagamento,,English for Academic Purposes,,,484124224,2024-05-22,,,paulo.silva@email.com
